seed,fold,model,model_label,SUBCLASS,f1
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,THYM,0.25
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,UCEC,0.47337278106508873
42,2,split_event_tfidf,Split-event Word TF-IDF,ACC,0.7931034482758621
42,2,split_event_tfidf,Split-event Word TF-IDF,BLCA,0.22641509433962265
42,2,split_event_tfidf,Split-event Word TF-IDF,BRCA,0.5093167701863354
42,2,split_event_tfidf,Split-event Word TF-IDF,CESC,0.047619047619047616
42,2,split_event_tfidf,Split-event Word TF-IDF,COAD,0.7088607594936709
42,2,split_event_tfidf,Split-event Word TF-IDF,DLBC,0.45454545454545453
42,2,split_event_tfidf,Split-event Word TF-IDF,GBMLGG,0.2641509433962264
42,2,split_event_tfidf,Split-event Word TF-IDF,HNSC,0.19047619047619047
42,2,split_event_tfidf,Split-event Word TF-IDF,KIPAN,0.19375
42,2,split_event_tfidf,Split-event Word TF-IDF,KIRC,0.12380952380952381
42,2,split_event_tfidf,Split-event Word TF-IDF,LAML,0.5045045045045045
42,2,split_event_tfidf,Split-event Word TF-IDF,LGG,0.33136094674556216
42,2,split_event_tfidf,Split-event Word TF-IDF,LIHC,0.13333333333333333
42,2,split_event_tfidf,Split-event Word TF-IDF,LUAD,0.23636363636363636
42,2,split_event_tfidf,Split-event Word TF-IDF,LUSC,0.2702702702702703
42,2,split_event_tfidf,Split-event Word TF-IDF,OV,0.3261802575107296
42,2,split_event_tfidf,Split-event Word TF-IDF,PAAD,0.08333333333333333
42,2,split_event_tfidf,Split-event Word TF-IDF,PCPG,0.3448275862068966
42,2,split_event_tfidf,Split-event Word TF-IDF,PRAD,0.24731182795698925
42,2,split_event_tfidf,Split-event Word TF-IDF,SARC,0.078125
42,2,split_event_tfidf,Split-event Word TF-IDF,SKCM,0.5309734513274337
42,2,split_event_tfidf,Split-event Word TF-IDF,STES,0.3534136546184739
42,2,split_event_tfidf,Split-event Word TF-IDF,TGCT,0.34615384615384615
42,2,split_event_tfidf,Split-event Word TF-IDF,THCA,0.5989847715736041
42,2,split_event_tfidf,Split-event Word TF-IDF,THYM,0.25
42,2,split_event_tfidf,Split-event Word TF-IDF,UCEC,0.5082872928176796
42,2,split_event_structural,Split-event Word TF-IDF + structural,ACC,0.8518518518518519
42,2,split_event_structural,Split-event Word TF-IDF + structural,BLCA,0.26666666666666666
42,2,split_event_structural,Split-event Word TF-IDF + structural,BRCA,0.5305263157894737
42,2,split_event_structural,Split-event Word TF-IDF + structural,CESC,0.12345679012345678
42,2,split_event_structural,Split-event Word TF-IDF + structural,COAD,0.762589928057554
42,2,split_event_structural,Split-event Word TF-IDF + structural,DLBC,0.17391304347826086
42,2,split_event_structural,Split-event Word TF-IDF + structural,GBMLGG,0.33210332103321033
42,2,split_event_structural,Split-event Word TF-IDF + structural,HNSC,0.3333333333333333
42,2,split_event_structural,Split-event Word TF-IDF + structural,KIPAN,0.23493975903614459
42,2,split_event_structural,Split-event Word TF-IDF + structural,KIRC,0.12037037037037036
42,2,split_event_structural,Split-event Word TF-IDF + structural,LAML,0.5210084033613446
42,2,split_event_structural,Split-event Word TF-IDF + structural,LGG,0.3373493975903614
42,2,split_event_structural,Split-event Word TF-IDF + structural,LIHC,0.24175824175824176
42,2,split_event_structural,Split-event Word TF-IDF + structural,LUAD,0.24742268041237114
42,2,split_event_structural,Split-event Word TF-IDF + structural,LUSC,0.43636363636363634
42,2,split_event_structural,Split-event Word TF-IDF + structural,OV,0.35944700460829493
42,2,split_event_structural,Split-event Word TF-IDF + structural,PAAD,0.18181818181818182
42,2,split_event_structural,Split-event Word TF-IDF + structural,PCPG,0.4098360655737705
42,2,split_event_structural,Split-event Word TF-IDF + structural,PRAD,0.34782608695652173
